Código Comuna hasta 1999;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Nombre Comuna;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Provincia desde 2000;Código Comuna desde 2010;Código Provincia desde 2000;Provincia desde 2008;Código Provincia desde 2008;Provincia desde 2010;Código Provincia desde 2010;Nombre Región desde 2000;Código Región desde 2000;Nombre Región desde 2008;Código Región desde 2008;Nombre Servicio de Salud hasta 2007;Código Servicio Salud hasta 2007;Nombre Servicio de Salud desde 2008;Código Servicio Salud desde 2008
322;5605;5605;5605;El Tabo;05605;05605;05605;San Antonio  ;5605;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
325;5606;5606;5606;Santo Domingo;05606;05606;05606;San Antonio  ;5606;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
290;5701;5701;5701;San Felipe;05701;05701;05701;San Felipe  ;5701;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
295;5702;5702;5702;Catemu;05702;05702;05702;San Felipe  ;5702;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
294;5703;5703;5703;Llaillay;05703;05703;05703;San Felipe  ;5703;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
293;5704;5704;5704;Panquehue;05704;05704;05704;San Felipe  ;5704;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
291;5705;5705;5705;Putaendo;05705;05705;05705;San Felipe  ;5705;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
292;5706;5706;5706;Santa María;05706;05706;05706;San Felipe  ;5706;057;San Felipe  ;057;San Felipe  ;057;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
335;6101;6101;6101;Rancagua;06101;06101;06101;Cachapoal;6101;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
338;6102;6102;6102;Codegua;06102;06102;06102;Cachapoal;6102;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
349;6103;6103;6103;Coinco;06103;06103;06103;Cachapoal;6103;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
348;6104;6104;6104;Coltauco;06104;06104;06104;Cachapoal;6104;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
350;6105;6105;6105;Doñihue;06105;06105;06105;Cachapoal;6105;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
336;6106;6106;6106;Graneros;06106;06106;06106;Cachapoal;6106;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
351;6107;6107;6107;Las Cabras;06107;06107;06107;Cachapoal;6107;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
339;6108;6108;6108;Machalí;06108;06108;06108;Cachapoal;6108;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
343;6109;6109;6109;Malloa;06109;06109;06109;Cachapoal;6109;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
337;6110;6110;6110;Mostazal;06110;06110;06110;Cachapoal;6110;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
340;6111;6111;6111;Olivar;06111;06111;06111;Cachapoal;6111;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
347;6112;6112;6112;Peumo;06112;06112;06112;Cachapoal;6112;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
346;6113;6113;6113;Pichidegua;06113;06113;06113;Cachapoal;6113;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
344;6114;6114;6114;Quinta de Tilcoco;06114;06114;06114;Cachapoal;6114;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
342;6115;6115;6115;Rengo;06115;06115;06115;Cachapoal;6115;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
341;6116;6116;6116;Requínoa;06116;06116;06116;Cachapoal;6116;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
345;6117;6117;6117;San Vicente;06117;06117;06117;Cachapoal;6117;061;Cachapoal;061;Cachapoal;061;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
370;6201;6201;6201;Pichilemu;06201;06201;06201;Cardenal Caro;6201;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
373;6202;6202;6202;La Estrella;06202;06202;06202;Cardenal Caro;6202;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
